Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,PrimaryEnergyInputToPower.MWy,PowerOutput.MWy,Capacity.MW,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW,LCOE.USD_kWh,EffectiveCapacity.MW
bel.hyd,BEL,hyd,2018,27,314,35.8220908,35.84474886,1423,0.104436355,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,148.6129332
bel.ore,BEL,ore,2018,1015,3343,1346.645265,381.6210046,1.54956621,1,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,1.54956621
bel.bio,BEL,bio,2018,723,3484,959.235987,397.716895,1064,0.729949875,0.809672153,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,776.666667
ben.coa,BEN,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,0
ben.nga,BEN,nga,2018,16,63,21.22790566,7.191780822,100,0.159728311,0.75244498,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,15.9728311
ben.oil,BEN,oil,2018,41,134,54.39650826,15.29680365,254,0.090762054,0.423805909,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,23.05356172
ben.nuc,BEN,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
ben.wnd,BEN,wnd,2018,0,0,0,0,0,0.346428571,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,0
ben.sol,BEN,sol,2018,0,5,0,0.570776256,3,0.203196347,1,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,0.609589041
ben.hyd,BEN,hyd,2018,0,0,0,0,1,0.168515982,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,0.168515982
