CountryCode,FuelType,Year,Capacity.MW,PowerOutput.MWy,EffectiveCapacity.MW,CapacityFactor,ThermalEfficiency,LCOE.TotalCalc.USD_kWh,LCOE.USD_kWh,VarOpex.USD_kWh,LCOE.Var.USD_kWh,LCOE.Fixed.USD_kWh,TotalThisYearDemand.MWy,FuelCostPerkWh,TotalNonCoalAndGasGeneration,RequiredCoalAndGas,MaximumGen,SumMaximumGen,OtherMaximumGen,MinimumGen,RemainderAfterMinimas,MinVarCost,RelVarCost,LogitExp,SumLogitExp,ProportionOfCoalGasGeneration,SumProportionOfCoalGasGeneration,GenerationShare,EffectiveEndOfYearRetirements,TotalEffectiveCapacity,TotalRetirements,TotalPredictedNextYearDemand.MWy,CostOfCheapestOption,RelativeCost,LogitNominator,SumLogitNominator,ProportionOfInvestment,CheckSum,NamePlateEndOfYearRetirements,TotalNewEffectiveInvestmentsNeeded,NewEffectiveInvestments,NewNameplateInvestments,NextYearEffectiveCapacity.MW,NextYearCapacity.MW,ThisYearGenerationCost,Price
CHN,bio,2023,15224.813116363446,15224.813116363446,15224.813116363446,1,0.287212967,0.10264598509670175,0.147883708,0.0121,0.07668442409670174,0.025961561,816084.5890360001,0.06458442409670175,312036.7881357107,504047.8009002894,0,0,0,0,0,0,0,0,0,0,0,0.01865592528140711,608.9925246545379,819447.919799282,32777.91679197128,816084.5890360001,0.03999358558983701,2.5665612018239665,0.07679918876623353,1.6109105460165256,0.04767439691554771,1,608.9925246545379,32777.91679197128,1562.6674152052349,1562.6674152052349,16178.488006914144,16178.488006914144,0,5.152634463
CHN,coa,2024,949710.3778068874,479429.6620213811,463191.7501674992,0.487718952,0.359969474,0.03964663490034605,0.061267026,0.0032,0.023952542900346045,0.015694092,816084.5890360001,0.020752542900346043,321674.6658729452,494409.92316305486,854739.3400261987,918177.1570202454,63437.81699404679,430972.10616900807,63437.81699404679,0.023952542900346045,1,0.36787944117144233,0.4816063925304916,0.7638591324307454,1,0.5874754510285599,18527.67000669997,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,1,0.36787944117144233,1.5965283142519888,0.23042462691543464,1,37988.4151122755,32777.916791971285,7552.839247855144,15486.048300733542,452216.9194086543,927208.0109953454,0,2.07507832
CHN,nga,2024,70486.46332671867,14980.261141673811,34581.503758837614,0.490611986,0.363221503,0.07405632321756492,0.084858665,0.005,0.052071747217564926,0.021984576,816084.5890360001,0.04707174721756493,321674.6658729452,494409.92316305486,63437.81699404681,918177.1570202454,854739.3400261987,0,63437.81699404679,0.023952542900346045,2.173954867097332,0.11372695135904924,0.4816063925304916,0.23614086756925456,1,0.018356260298174783,1383.2601503535045,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,1.8679094304903676,0.15444620507531526,1.5965283142519888,0.09673878232950535,1,2819.458533068747,32777.916791971285,3170.8957577531482,6463.143682252288,36369.13936623726,74130.14847590221,0,4.749297437
CHN,oil,2024,47479.99552779839,3566.0519159490013,3566.0519159490013,0.075106408,0.321523472,0.15264657219956174,0.190673637,0.005,0.08502949219956173,0.06761708,816084.5890360001,0.08002949219956172,321674.6658729452,494409.92316305486,0,0,0,0,0,0,0,0,0,0,0,0.004369708684440911,142.64207663796006,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,3.850177261783935,0.021275964688637856,1.5965283142519888,0.013326393587079067,1,1899.1998211119358,32777.916791971285,436.81142013433737,5815.900823460195,3860.2212594453786,51396.69653014665,0,7.147600054
CHN,nuc,2024,76433.23630022559,57528.677366872085,57528.677366872085,0.752665727,0.329613554,0.052068219,0.052068219,0.0066,0.0066,0.045468219,816084.5890360001,0,321674.6658729452,494409.92316305486,0,0,0,0,0,0,0,0,0,0,0,0.07049352253401554,2301.1470946748836,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,1.3133074000069935,0.26892912766928073,1.5965283142519888,0.1684461999631246,1,3057.329452009024,32777.916791971285,5521.315526315055,7335.680805238863,60748.84579851226,80711.58765345543,0,0
CHN,wnd,2024,285821.66010990605,63260.09001053427,63260.09001053427,0.221327138,0.977327371,0.051902689,0.051902689,0.0074,0.0074,0.044502689,816084.5890360001,0,321674.6658729452,494409.92316305486,0,0,0,0,0,0,0,0,0,0,0,0.07751658450658927,2530.403600421371,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,1.3091322663439207,0.2700542899401694,1.5965283142519888,0.16915095556366389,1,11432.866404396242,32777.916791971285,5544.415946748207,25050.773243849595,66274.10235686111,299439.5669493594,0,0
CHN,sol,2024,370743.16562220757,47805.80003770964,47805.80003770964,0.12894587,1,0.053493613,0.053493613,0,0,0.053493613,816084.5890360001,0,321674.6658729452,494409.92316305486,0,0,0,0,0,0,0,0,0,0,0,0.058579466736628664,1912.2320015083856,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,1.3492598586099194,0.2594322061174024,1.5965283142519888,0.16249771695339618,1,14829.726624888302,32777.916791971285,5326.336645183722,41306.76418859885,51219.90468138498,397220.2031859181,0,0
CHN,hyd,2024,317521.0141212113,125986.54491487298,125986.54491487298,0.396781754,1,0.07995943500000001,0.079959769,9.33e-4,9.33e-4,0.079026435,816084.5890360001,0,321674.6658729452,494409.92316305486,0,0,0,0,0,0,0,0,0,0,0,0.15437927220717965,5039.461796594919,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,2.016802565992861,0.13308030100587456,1.5965283142519888,0.08335605439495498,1,12700.840564848451,32777.916791971285,2732.237815064867,6885.996615320338,123679.32093334294,311706.1701716832,0,0
CHN,ore,2024,12315.67697220815,7349.013620093105,7349.013620093105,0.596720232,1,0.123570714,0.123570713,0.005555556,0.005555556,0.118015158,816084.5890360001,0,321674.6658729452,494409.92316305486,0,0,0,0,0,0,0,0,0,0,0,0.009005210634811921,293.9605448037242,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,3.116802076912748,0.04429860568025386,1.5965283142519888,0.027746833729665986,1,492.62707888832597,32777.916791971285,909.4834072316539,1524.1370385304012,7964.5364825210345,13347.186931850225,0,0
CHN,bio,2024,16178.488006914144,16178.488006914144,16178.488006914144,1,0.287212967,0.10158398754420267,0.147883708,0.0121,0.07562242654420266,0.025961561,816084.5890360001,0.06352242654420266,321674.6658729452,494409.92316305486,0,0,0,0,0,0,0,0,0,0,0,0.019824523369599445,647.1395202765658,819447.919799282,32777.916791971285,816084.5890360001,0.03964663490034605,2.562234797468675,0.07713217290361235,1.5965283142519888,0.048312436563175264,1,647.1395202765658,32777.916791971285,1583.58102568515,1583.58102568515,17114.929512322728,17114.929512322728,0,5.067906833
CHN,coa,2025,927208.0109953454,469697.5541606977,452216.9194086543,0.487718952,0.359969474,0.03938509546325478,0.061267026,0.0032,0.023691003463254777,0.015694092,816084.5890360001,0.020491003463254776,330861.8610243904,485222.7280116097,834487.2098958109,901204.343524123,66717.13362831203,418505.59438329766,66717.13362831203,0.023691003463254777,1,0.36787944117144233,0.47944759181849866,0.7672985482649124,0.9999999999999999,0.5755500844777965,18088.676776346172,819447.919799282,32777.91679197128,816084.5890360001,0.03938509546325478,1,0.36787944117144233,1.5854808100433022,0.23203020739266778,1,37088.32043981381,32777.91679197128,7605.466831140703,15593.953853859473,441733.70946344885,905713.6444093911,0,2.048926594
CHN,nga,2025,74130.14847590221,15525.173850912037,36369.13936623726,0.490611986,0.363221503,0.07394178141853491,0.084858665,0.005,0.05195720541853492,0.021984576,816084.5890360001,0.046957205418534924,330861.8610243904,485222.7280116097,66717.13362831199,901204.343524123,834487.2098958109,0,66717.13362831203,0.023691003463254777,2.193119658233202,0.11156815064705632,0.47944759181849866,0.23270145173508752,0.9999999999999999,0.01902397626360173,1454.7655746494904,819447.919799282,32777.91679197128,816084.5890360001,0.03938509546325478,1.877405159205989,0.15298656694243873,1.5854808100433022,0.09649222240555558,1,2965.2059390360887,32777.91679197128,3162.8140370816873,6446.670948397268,38077.187828669455,77611.61348526338,0,4.737740758
CHN,oil,2025,51396.69653014665,3860.2212594453786,3860.2212594453786,0.075106408,0.321523472,0.15197254558417359,0.190673637,0.005,0.08435546558417359,0.06761708,816084.5890360001,0.07935546558417358,330861.8610243904,485222.7280116097,0,0,0,0,0,0,0,0,0,0,0,0.004730172964061563,154.40885037781516,819447.919799282,32777.91679197128,816084.5890360001,0.03938509546325478,3.858630880454761,0.021096863887841693,1.5854808100433022,0.01330628775460581,1,2055.867861205866,32777.91679197128,436.15239283049556,5807.1262418846545,4141.964801898059,55147.954910825436,0,7.087401338
CHN,nuc,2025,80711.58765345543,60748.84579851225,60748.84579851225,0.752665727,0.329613554,0.052068219,0.052068219,0.0066,0.0066,0.045468219,816084.5890360001,0,330861.8610243904,485222.7280116097,0,0,0,0,0,0,0,0,0,0,0,0.07443939833525325,2429.95383194049,819447.919799282,32777.91679197128,816084.5890360001,0.03938509546325478,1.3220285081847327,0.266593965058182,1.5854808100433022,0.16814707776305465,1,3228.463506138217,32777.91679197128,5511.51092373053,7322.654301928284,63830.40289030229,84805.7784492455,0,0
CHN,wnd,2025,299439.5669493594,66274.1023568611,66274.1023568611,0.221327138,0.977327371,0.051902689,0.051902689,0.0074,0.0074,0.044502689,816084.5890360001,0,330861.8610243904,485222.7280116097,0,0,0,0,0,0,0,0,0,0,0,0.08120984423336236,2650.964094274444,819447.919799282,32777.91679197128,816084.5890360001,0.03938509546325478,1.317825649259218,0.26771677974679814,1.5854808100433022,0.16885526336927809,1,11977.582677974375,32777.91679197128,5534.723772604593,25006.982074672618,69157.86203519124,312468.9663460576,0,0
