CountryCode,FuelType,Capacity.MW,Production.GWh,Production.MWy,RawCapacityFactor,PrimaryEnergyInputToPower.ktoe,PrimaryEnergyInputToPower.PJ,PrimaryEnergyInputToPower.MWy,PowerOutput.GWh,PowerOutput.MWy,LCOE.USD_kWh,BNEFCapacityFactor,CapEx.USD_kW,ThermalEfficiency.Je_Jth.ncv,FixedOpex.USD_kW_y,VarOpex.USD_kWh,CostOfCapital,ConstructionTime,Lifetime,RealEscalationRate,FuelPrice.kwh,FuelCost.kwhe,LCOE.Var.USD_kWh,LCOE.Fixed.USD_kWh,LCOE.TotalCalc.USD_kWh,FuelPriceGlobal,CapacityFactor,EffectiveCapacity.MW,RawThermalEfficiency,ThermalEfficiency,AvailabilityFactor
MDA,sol,2,2,0.228310502283105,0.1141552511415525,-0,-0,-0,3,0.3424657534246575,0.07296774193548387,0.1774193548387097,967.0967741935484,1,16.95501612903226,0,0.07167854838709678,2.4,20,0,0,0,0,0.0770219361256934,0.0770219361256934,0,0.1141552511415525,0.228310502283105,-Inf,1,0
MDA,hyd,64,342,39.04109589041096,0.6100171232876712,24,1.004832,31.841858491276348,276,31.506849315068493,0.07433333333333333,0.6766666666666666,4293.333333333333,1,28.647000000000002,9.333333333333333e-4,0.06223833333333333,2.4,20,0,0,0,9.333333333333333e-4,0.07902643544720107,0.0799597687805344,0,0.6100171232876712,39.04109589041096,1.226093505223854,1,0
MDA,ore,0,0,0,0,7,0.293076,9.287208726622268,30,3.4246575342465753,0.1406173835125448,0.4001715309779826,4610.524833589349,1,47.56916551459294,0.0025626984126984127,0.06664884152585765,2.4,20,0,0,0,0.0025626984126984127,0.1473904330145508,0.1499531314272492,0,0.4001715309779826,0,0,1,0
MDA,bio,2.26027397260274,19.8,2.26027397260274,1,-0,-0,-0,0,0,0.12736363636363637,0.7718181818181818,2988.181818181818,0.35,119.96836363636363,0.007963636363636364,0.06919454545454545,2.4,20,0,0.038437751375999994,0.10982214678857143,0.11778578315220779,0.06202040526288355,0.17980618841509133,10.49085648,1,2.26027397260274,-Inf,0.35,0
MEX,coa,9044,31070.2467,3546.831815068493,0.3921751232937299,7808,326.905344,10359.217962495239,29144,3326.9406392694063,0.08334375,0.6587500000000001,1793.75,0.3571428571428571,33.14321875,0.0040437500000000005,0.084074125,2.4,20,0,0.015738518322,0.04445548301433378,0.04849923301433378,0.042621987369771436,0.09112122038410522,4.295530593,0.3921751232937299,3546.831815068493,0.34238412860020206,0.34238412860020206,0.9
MEX,nga,28432.1467,195611.6609,22330.098276255703,0.7853820716342781,39771,1665.1322280000002,52765.939752356324,202424,23107.762557077625,0.054,0.75,650,0.4328223624887286,14.244,0.0112,0.0888,2.4,20,0,0.02139619185,0.0494341182534375,0.0606341182534375,0.013955601572056315,0.07458971982549382,6.974812765,0.7853820716342781,22330.098276255703,0.42319152053495884,0.42319152053495884,0.9
MEX,oil,15980.0733,35958.263,4104.824543378995,0.25687144647696925,8218,344.07122400000003,10903.183045054542,35159,4013.584474885845,0.12,0.45,2330,0.3231939163498099,50,0.005,0.060685,2.4,20,0,0.03815516106,0.11805655716211765,0.12305655716211765,0.06761707995821443,0.19067363712033208,10.41372881,0.25687144647696925,4104.824543378995,0.37647946718099523,0.37647946718099523,0
MEX,nuc,1711.8246347031964,14995.5838,1711.8246347031964,1,3563,149.17568400000002,4727.189241850735,13675,1561.0730593607307,0.19177777777777777,0.9022222222222223,7644.444444444444,0.33,119.37711111111112,0.003933333333333333,0.10796111111111112,2.4,20,0,0,0,0.003933333333333333,0.17007435799231274,0.17400769132564609,0,1,1711.8246347031964,0.36212314488027614,0.36212314488027614,0
MEX,wnd,4875,12869.2902,1469.0970547945205,0.30135324200913244,1107,46.347876,1468.7057229101215,12875,1469.7488584474886,0.048,0.45,1510,1,24.116,0,0.0888,2.4,20,0,0,0,0,0.051756740629863414,0.051756740629863414,0,0.30135324200913244,1469.0970547945205,1.0002664467621354,1,0
MEX,sol,2555,1344.7054,153.50518264840184,0.06008030632031383,160,6.698880000000001,212.27905660850902,1856,211.87214611872147,0.061,0.21,900,1,18.551,0,0.0718,2.4,20,0,0,0,0,0.060385036077986384,0.060385036077986384,0,0.06008030632031383,153.50518264840184,0.7231291918330898,0.7231291918330898,0
MEX,hyd,12117,32621.8766,3723.9585159817348,0.30733337591662413,2806,117.48160800000001,3722.843955271727,32636,3725.5707762557076,0.07433333333333333,0.6766666666666666,4293.333333333333,1,28.647000000000002,9.333333333333333e-4,0.06223833333333333,2.4,20,0,0,0,9.333333333333333e-4,0.07902643544720107,0.0799597687805344,0,0.30733337591662413,3723.9585159817348,1.0002993842136279,1,0
