Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,Production.MWy
aut.coa,AUT,coa,2018,816,3620,1187,413.2420091324201,1082.6231887033957,0.3481155247294703,0.3816776992822094,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,413.2131278538813
aut.nga,AUT,nga,2018,1951,9918,5228.336,1132.1917808219177,2588.477746520007,0.21503433122121787,0.4343370294263906,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,1124.2717351598174
aut.oil,AUT,oil,2018,318,716,704.406,81.7351598173516,421.9046250094117,0.11627319871322134,0.1941280895201334,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,81.90353881278538
aut.nuc,AUT,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
aut.wnd,AUT,wnd,2018,519,6030,2877.5,688.3561643835617,688.580189873851,0.2392284850576628,0.9997092217821965,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,688.3799657534247
aut.sol,AUT,sol,2018,124,1438,1437.6,164.1552511415525,164.51626887159446,0.11415850682136389,0.9975564759159745,0,0.0770219361256934,0,0,0.0770219361256934,164.1142694063927
aut.hyd,AUT,hyd,2018,3236,37638,14516.246,4296.575342465753,4293.3439199070945,0.3258693616346539,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,4730.399817351598
aut.ore,AUT,ore,2018,683,1681,1,191.89497716894977,906.1662228975729,0.02728310502283105,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0.02728310502283105
aut.bio,AUT,bio,2018,983,3966,1734,452.73972602739724,1304.1894540385272,0.37166184765606486,0.4941472589277496,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,644.4616438356164
aze.coa,AZE,coa,2018,-0,0,0,0,-0,0.6587500000000001,0.3571428571428571,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,0
aze.nga,AZE,nga,2018,4996,23128,3070,2640.1826484018266,6628.413542600693,0.8599980664257135,0.39831462641225707,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,2640.1940639269405
aze.oil,AZE,oil,2018,13,49,3482.2,5.593607305936073,17.247673349441357,0.45,0.3236489738485639,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,5.582191780821918
aze.nuc,AZE,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
aze.wnd,AZE,wnd,2018,7,83,66,9.474885844748858,9.287208726622268,0.1430399889303999,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,9.440639269406393
aze.sol,AZE,sol,2018,3,39,34.9,4.4520547945205475,3.9802323114095435,0.12854731718805198,1,0,0.0770219361256934,0,0,0.0770219361256934,4.486301369863014
aze.hyd,AZE,hyd,2018,152,1768,1130.8,201.82648401826484,201.66510377808356,0.1784811496447337,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,201.82648401826484
aze.ore,AZE,ore,2018,71,162,0,18.493150684931507,94.19883137002587,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
aze.bio,AZE,bio,2018,-0,0,45,0,-0,0.41146626078132925,0.35,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,18.515981735159816
bel.coa,BEL,coa,2018,468,2345,1006.5,267.69406392694066,620.9162405798887,0.264403126254687,0.42859524229355783,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,266.12174657534246
bel.nga,BEL,nga,2018,3784,23982,4178,2737.671232876712,5020.399688791237,0.6408364754716487,0.533307099133613,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,2677.414794520548
bel.oil,BEL,oil,2018,31,161,1666.9,18.378995433789953,41.129067217898616,0.011272394467514274,0.4568534034178753,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,18.789954337899545
bel.nuc,BEL,nuc,2018,7451,28597,5919,3264.497716894977,9885.570317437505,0.5492037193898451,0.32883654768348614,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,3250.7368150684933
bel.wnd,BEL,wnd,2018,642,7465,3191,852.1689497716895,851.7697146416423,0.2703648174303013,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,862.7341324200913
bel.sol,BEL,sol,2018,335,3902,4254.5,445.4337899543379,444.45927477406576,0.10656791009894975,1,0,0.0770219361256934,0,0,0.0770219361256934,453.39317351598174
bel.hyd,BEL,hyd,2018,27,314,1423,35.84474885844749,35.82209080268589,0.10443635543918085,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,148.61293378995435
bel.ore,BEL,ore,2018,1015,3343,1.549566210045662,381.62100456621005,1346.645265360229,1,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,1.549566210045662
bel.bio,BEL,bio,2018,723,3484,1064,397.716894977169,959.2359870496999,0.7299498746867168,0.8096721527884316,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,776.6666666666666
ben.coa,BEN,coa,2018,-0,0,0,0,-0,0.6587500000000001,0.3571428571428571,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,0
ben.nga,BEN,nga,2018,16,63,100,7.191780821917808,21.227905660850897,0.1597283105022831,0.7524449799909303,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,15.97283105022831
ben.oil,BEN,oil,2018,41,134,254,15.296803652968036,54.39650825593043,0.09076205371588825,0.42380590929422873,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,23.053561643835614
ben.nuc,BEN,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
