CountryCode,TwoLetterCountryCode,FuelType,Year,CapacityMW,ProductionGWh,ProductionMWy,OrigProdGreaterThanOrigCap,CapacityFactor
COM,KM,hyd,2018,1,5,0.5707762557077626,FALSE,0.5707762557077626
COM,KM,nga,2018,0,0,0,FALSE,0
COM,KM,nuc,2018,0,0,0,FALSE,0
COM,KM,oil,2018,26,86.5,9.874429223744292,FALSE,0.37978573937478044
COM,KM,ore,2018,0,0,0,FALSE,0
COM,KM,sol,2018,0,0,0,FALSE,0
COM,KM,wnd,2018,0,0,0,FALSE,0
CPV,CV,bio,2018,0,0,0,FALSE,0
CPV,CV,coa,2018,0,0,0,FALSE,0
CPV,CV,hyd,2018,0,0,0,FALSE,0
CPV,CV,nga,2018,0,0,0,FALSE,0
CPV,CV,nuc,2018,0,0,0,FALSE,0
CPV,CV,oil,2018,125.064,340.2681,38.843390410958904,FALSE,0.3105881021793554
CPV,CV,ore,2018,0,0,0,FALSE,0
CPV,CV,sol,2018,6.8,9.0537,1.0335273972602739,FALSE,0.15198932312651087
CPV,CV,wnd,2018,27,80.2312,9.158812785388127,FALSE,0.3392152883477084
CRI,CR,bio,2018,56.7,161.6369,18.451700913242007,FALSE,0.3254268238667021
CRI,CR,coa,2018,0,0,0,FALSE,0
CRI,CR,hyd,2018,2373,8406.7744,959.6774429223744,FALSE,0.4044152730393487
CRI,CR,nga,2018,0,0,0,FALSE,0
CRI,CR,nuc,2018,0,0,0,FALSE,0
CRI,CR,oil,2018,571.7,146.4393,16.71681506849315,FALSE,0.029240537114733515
CRI,CR,ore,2018,206.9,968.5717,110.56754566210046,FALSE,0.534400897351863
CRI,CR,sol,2018,5.4,16.3112,1.8620091324200911,FALSE,0.34481650600372055
CRI,CR,wnd,2018,477.8,1798.8686,205.35029680365298,FALSE,0.42978295689337165
CUB,CU,bio,2018,200,647.9785,73.97014840182648,FALSE,0.36985074200913237
CUB,CU,coa,2018,0,0,0,FALSE,0
CUB,CU,hyd,2018,64,145.5,16.60958904109589,FALSE,0.2595248287671233
CUB,CU,nga,2018,580,2637.2,301.0502283105023,FALSE,0.5190521177767281
CUB,CU,nuc,2018,0,0,0,FALSE,0
CUB,CU,oil,2018,5678,17235.5541,1967.5290068493152,FALSE,0.3465179652781464
CUB,CU,ore,2018,0,0,0,FALSE,0
CUB,CU,sol,2018,96,149.7674,17.096735159817353,FALSE,0.17809099124809744
CUB,CU,wnd,2018,12,21,2.3972602739726026,FALSE,0.19977168949771687
CYP,CY,bio,2018,10,57.201,6.529794520547945,FALSE,0.6529794520547945
CYP,CY,coa,2018,0,0,0,FALSE,0
CYP,CY,hyd,2018,0,0,0,FALSE,0
CYP,CY,nga,2018,0,0,0,FALSE,0
CYP,CY,nuc,2018,0,0,0,FALSE,0
CYP,CY,oil,2018,1508,4583.138,523.1892694063927,FALSE,0.34694248634376174
CYP,CY,ore,2018,0,0,0,FALSE,0
CYP,CY,sol,2018,113.1,191.83,21.89840182648402,FALSE,0.19361982163115846
CYP,CY,wnd,2018,157.5,220.611,25.18390410958904,FALSE,0.1598978038704066
CZE,CZ,bio,2018,832,4909.0981,560.3993264840183,FALSE,0.6735568827932912
CZE,CZ,coa,2018,10598.8,41901.0382,4783.223538812786,FALSE,0.45129859406845924
CZE,CZ,hyd,2018,2264.2,2679.3282,305.8593835616438,FALSE,0.1350849675654288
CZE,CZ,nga,2018,1796,3690.7415,421.3175228310502,FALSE,0.2345865940039255
CZE,CZ,nuc,2018,3930,29921.3,3415.6735159817354,FALSE,0.8691281211149454
CZE,CZ,oil,2018,123,74.6106,8.517191780821918,FALSE,0.06924546163269851
CZE,CZ,ore,2018,10.088584474885845,88.376,10.088584474885845,TRUE,1
CZE,CZ,sol,2018,2056.8,2339.6648,267.0850228310502,FALSE,0.12985463964947985
CZE,CZ,wnd,2018,316.2,609.3392,69.55926940639269,FALSE,0.2199850392359035
DEU,DE,bio,2018,10961,59247.4118,6763.403173515982,FALSE,0.6170425301994328
DEU,DE,coa,2018,51848.5,239169.4425,27302.447773972603,FALSE,0.5265812467857817
DEU,DE,hyd,2018,11120,23366.7919,2667.441997716895,FALSE,0.23987787749252654
DEU,DE,nga,2018,26914.975,84347.5087,9628.711038812786,FALSE,0.3577454944250473
DEU,DE,nuc,2018,10799,76004.3574,8676.296506849314,FALSE,0.8034351798175122
DEU,DE,oil,2018,2878.625,5173.0714,590.5332648401826,FALSE,0.20514421463031224
DEU,DE,ore,2018,208.77979452054794,1828.911,208.77979452054794,TRUE,1
DEU,DE,sol,2018,45277,46201.1726,5274.106461187214,FALSE,0.11648533386017657
